County_ID,y_2019,Inhabitants,MSW per person,Textile per person
BUD,401067,1623343,0.2470623891562042,0.008647183620467147
PES,362516,1357023,0.2671406453685752,0.009349922587900131
FEJ,105382,424474,0.24826491139622214,0.008689271898867775
KOM,86177,303657,0.2837971790539984,0.009932901266889945
VES,86297,342742,0.25178414084063233,0.008812444929422132
GYO,114853,466048,0.24644028082944247,0.008625409829030485
VAS,63225,249311,0.25359891861971595,0.008875962151690057
ZAL,74381,272373,0.27308507084035494,0.009557977479412423
BAR,84785,370484,0.2288492890381231,0.008009725116334309
SOM,97333,309026,0.3149670254282811,0.011023845889989838
TOL,55204,215543,0.2561159490217729,0.008964058215762051
BOR,158397,649863,0.24373906500293138,0.008530867275102598
HEV,76256,292708,0.26051901553766893,0.009118165543818413
NOG,47986,188470,0.254608160449939,0.008911285615747866
HAJ,113658,532227,0.21355173638315983,0.007474310773410594
SZO,95621,366636,0.26080635834997107,0.009128222542248987
SZA,100095,559681,0.17884294803647077,0.006259503181276477
BAC,130112,509919,0.2551620943718512,0.008930673303014794
BEK,87297,332351,0.26266507397299843,0.009193277589054945
CSO,103305,398747,0.25907404945993323,0.009067591731097663
